country,total cases,total deaths,total recovered,active cases,,,,,,,,,,,,,,,,,,,,
Syria,33,2,5,26,,,,,,,,,,,,,,,,,,,,
Sudan,32,5,4,23,,,,,,,,,,,,,,,,,,,,
Mongolia,31,,5,26,,,,,,,,,,,,,,,,,,,,
Mozambique,29,,2,27,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,23,3,3,17,,,,,,,,,,,,,,,,,,,,
Zimbabwe,23,3,1,19,,,,,,,,,,,,,,,,,,,,
Chad,23,,2,21,,,,,,,,,,,,,,,,,,,,
Maldives,23,,16,7,,,,,,,,,,,,,,,,,,,,
Angola,19,2,5,12,,,,,,,,,,,,,,,,,,,,
Laos,19,,1,18,,,,,,,,,,,,,,,,,,,,
Belize,18,2,,16,,,,,,,,,,,,,,,,,,,,
New Caledonia,18,,1,17,,,,,,,,,,,,,,,,,,,,
Malawi,16,2,,14,,,,,,,,,,,,,,,,,,,,
Nepal,16,,1,15,,,,,,,,,,,,,,,,,,,,
Dominica,16,,8,8,,,,,,,,,,,,,,,,,,,,
Fiji,16,,,16,,,,,,,,,,,,,,,,,,,,
Namibia,16,,3,13,,,,,,,,,,,,,,,,,,,,
Saint Lucia,15,,11,4,,,,,,,,,,,,,,,,,,,,
Eswatini,15,,8,7,,,,,,,,,,,,,,,,,,,,
Curaçao,14,1,10,3,,,,,,,,,,,,,,,,,,,,
Grenada,14,,,14,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,14,,,14,,,,,,,,,,,,,,,,,,,,
Botswana,13,1,,12,,,,,,,,,,,,,,,,,,,,
Sierra Leone,13,,,13,,,,,,,,,,,,,,,,,,,,
CAR,12,,4,8,,,,,,,,,,,,,,,,,,,,
St. Vincent Grenadines,12,,1,11,,,,,,,,,,,,,,,,,,,,
Falkland Islands,11,,1,10,,,,,,,,,,,,,,,,,,,,
Greenland,11,,11,0,,,,,,,,,,,,,,,,,,,,
Montserrat,11,,1,10,,,,,,,,,,,,,,,,,,,,
Seychelles,11,,,11,,,,,,,,,,,,,,,,,,,,
Suriname,10,1,6,3,,,,,,,,,,,,,,,,,,,,
Turks and Caicos,10,1,,9,,,,,,,,,,,,,,,,,,,,
MS Zaandam,9,2,,7,,,,,,,,,,,,,,,,,,,,
Gambia,9,1,2,6,,,,,,,,,,,,,,,,,,,,
Nicaragua,9,1,4,4,,,,,,,,,,,,,,,,,,,,
Vatican City,8,,2,6,,,,,,,,,,,,,,,,,,,,
Timor-Leste,8,,1,7,,,,,,,,,,,,,,,,,,,,
Mauritania,7,1,2,4,,,,,,,,,,,,,,,,,,,,
St. Barth,6,,4,2,,,,,,,,,,,,,,,,,,,,
Western Sahara,6,,,6,,,,,,,,,,,,,,,,,,,,
Burundi,5,1,,4,,,,,,,,,,,,,,,,,,,,
Bhutan,5,,2,3,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,4,,,4,,,,,,,,,,,,,,,,,,,,
South Sudan,4,,,4,,,,,,,,,,,,,,,,,,,,
Anguilla,3,,1,2,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,3,,2,1,,,,,,,,,,,,,,,,,,,,
Caribbean Netherlands,3,,,3,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,2,,,2,,,,,,,,,,,,,,,,,,,,
Saint Pierre Miquelon,1,,,1,,,,,,,,,,,,,,,,,,,,
Yemen,1,,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
